Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,survivial-case-discharge rate,error,,Country,x,x1,Country,n,n1,
-16.2902,-63.5887,Bolivia,239073,0.102645146,0.102991888,0.104088381,0.107555796,0.118520724,0.153194872,0.104964261,0.102732734,0.102509635,0.102487523,0.102484787,,,15,101,Thailand,749213,0.114751588,0.103711468,0.10260746,0.102497098,0.102486155,,48.0196,66.9237,Kazakhstan,2434444,0.10278323,0.103428547,0.105469218,0.111922387,0.132329099,0.19686079,,Kazakhstan,0.921689816,0.002784228,,Egypt,0.999991667,8.33253E-06,Saint Martin,26318367636,9549480.274,
31,35,Israel,2217857,0.102692711,0.1031423,0.104564026,0.109059917,0.123277172,0.168236084,0.112276781,0.103463984,0.102582662,0.102494264,0.102484787,,,26.0275,50.55,Bahrain,1095373,0.113915111,0.103627819,0.102599099,0.102496231,0.102484787,,-40.9006,174.886,New Zealand,750808,0.102779899,0.103418012,0.105435905,0.11181704,0.131995962,0.195807317,,New Zealand,0.919742238,0.022005653,,Dominican Republic,0.99999159,8.40954E-06,Bahamas,26188333790,2372776.46,
-1.8312,-78.1834,Ecuador,326552,0.102748742,0.103319485,0.105124334,0.110831766,0.128880253,0.185954576,0.107254645,0.102961772,0.102532486,0.102489525,0.102484787,,,-9.19,-75.0152,Peru,3156679,0.112646736,0.103500995,0.102586266,0.10249573,0.102484787,,32,53,Iran,3184857,0.102768772,0.103382826,0.105324635,0.111465173,0.130883262,0.192288651,,Iran,0.912656902,0.001594179,,Panama,0.999991385,8.61496E-06,Ethiopia,26061351009,29975.21481,
48.0196,66.9237,Kazakhstan,2434444,0.10278323,0.103428547,0.105469218,0.111922387,0.132329099,0.19686079,0.117209996,0.103957309,0.102632058,0.102499771,0.102484787,,,7.9465,-1.0232,Ghana,439246,0.112516395,0.103487948,0.102585103,0.102494839,0.102485754,,22.3,114.2,Hong Kong,780415,0.102767715,0.103379485,0.10531407,0.111431766,0.130777619,0.19195458,,Hong Kong,0.911933631,0.013820356,,Oman,0.999990967,9.03336E-06,Cyprus,25770669346,89875.94633,
26,30,Egypt,135000,0.102674083,0.103083395,0.104377751,0.108470866,0.121414432,0.162345586,0.104684213,0.10270473,0.102506758,0.102487156,0.102484787,,,31,35,Israel,2217857,0.112276781,0.103463984,0.102582662,0.102494264,0.102484787,,-12.8275,45.1662,Mayotte,13000,0.102763461,0.103366032,0.105271528,0.111297235,0.130352194,0.190609267,,Mayotte,0.908923643,0.016848634,,Kuwait,0.999990907,9.09265E-06,France,25622338372,4149.216696,
18.7357,-70.1627,Dominican Republic,363807,0.10266344,0.103049739,0.104271321,0.108134304,0.120350125,0.158979939,0.105892373,0.102825543,0.102518846,0.102487523,0.102484787,,,4.5709,-74.2973,Colombia,2685355,0.112192721,0.103455586,0.102581895,0.102494264,0.102484787,,29.5,47.75,Kuwait,611639,0.102762152,0.103361891,0.105258433,0.111255826,0.130221248,0.19019518,,Kuwait,0.907964538,0.003340037,,Romania,0.999990778,9.22224E-06,Philippines,25608472704,10180.87039,
8.538,-80.7821,Panama,326597,0.102665131,0.103055085,0.104288227,0.108187766,0.120519186,0.159514572,0.105743963,0.102810703,0.102517387,0.102488138,0.102484787,,,51.9194,19.1451,Poland,2660665,0.111591873,0.103395507,0.102576013,0.102492525,0.102484787,,60.472,8.4689,Norway,686202,0.102756266,0.103343277,0.105199572,0.111069691,0.129632637,0.188333826,,Norway,0.903450275,0.009706341,,Russia,0.999990612,9.38793E-06,Maldives,25340224423,229845.3902,
45.9432,24.9668,Romania,1780963,0.102645819,0.102994016,0.10409511,0.107577076,0.118588012,0.153407666,0.109280583,0.103164386,0.102552685,0.102492525,0.102484787,,,50.8333,4,Belgium,2234172,0.111261925,0.103362499,0.102572671,0.102494264,0.102484787,,9.9456,-9.6966,Guinea,23588,0.10275325,0.103333742,0.105169419,0.11097434,0.129331109,0.187380315,,Guinea,0.90100087,0.010413833,,China,0.999990595,9.40549E-06,Lithuania,24860318426,39165.46555,
30.9756,112.2707,China,90410000,0.103942419,0.107094225,0.11706111,0.148579168,0.248248019,0.563428598,0.540769399,0.146313263,0.106867635,0.10292308,0.102528558,,,36,138,Japan,1440826,0.110989688,0.103335277,0.102569902,0.102493438,0.102484787,,43,12,Italy,8509618,0.10275196,0.103329661,0.105156512,0.110933523,0.129202036,0.186972147,,Italy,0.899922206,0.002085426,,Belgium,0.999989909,1.00913E-05,Turks and Caicos,23635908970,9985597.368,
21,57,Oman,309212,0.102832712,0.103585023,0.10596404,0.11348715,0.137277312,0.212508412,0.108602853,0.103096593,0.102545959,0.102490904,0.102484787,,,6.4238,-66.5897,Venezuela,1734382,0.110891765,0.103325479,0.10256884,0.102494264,0.102484787,,-1.8312,-78.1834,Ecuador,326552,0.102748742,0.103319485,0.105124334,0.110831766,0.128880253,0.185954576,,Ecuador,0.897150486,0.003113255,,Guatemala,0.999989523,1.04773E-05,Senegal,23425170994,162842.1641,
29.5,47.75,Kuwait,611639,0.102762152,0.103361891,0.105258433,0.111255826,0.130221248,0.19019518,0.109344385,0.103170747,0.102553371,0.102491762,0.102484787,,,13,122,Philippines,2515352,0.110884319,0.103324749,0.10256884,0.102492525,0.102484787,,-32.5228,-55.7658,Uruguay,171237,0.102745074,0.103307888,0.10508766,0.110715793,0.128513514,0.18479485,,Uruguay,0.893840105,0.026373499,,Japan,0.999988701,1.1299E-05,Guadeloupe,23355727438,789178.153,
50.8333,4,Belgium,2234172,0.10267048,0.103071999,0.104341714,0.108356903,0.121054048,0.16120596,0.111261925,0.103362499,0.102572671,0.102494264,0.102484787,,,36,128,S. Korea,1924170,0.110831446,0.103319457,0.102568304,0.102492525,0.102484787,,41.2044,74.7661,Kyrgyzstan,267718,0.102741283,0.103295897,0.105049743,0.110595889,0.128134344,0.183595811,,Kyrgyzstan,0.890235611,0.005059302,,Poland,0.999988549,1.14508E-05,Poland,23042336678,8660.367494,
15.7835,-90.2308,Guatemala,240745,0.102717291,0.103220029,0.104809826,0.109837206,0.125735177,0.176008971,0.106092308,0.102845539,0.102520847,0.102488406,0.102484787,,,39.3999,-8.2245,Portugal,1976482,0.110725463,0.103308845,0.102567222,0.102492525,0.102484787,,46.8182,8.2275,Switzerland,1000884,0.102737335,0.103283412,0.105010263,0.110471042,0.127739541,0.182347333,,Switzerland,0.886270363,0.005325047,,Morocco,0.999987632,1.23683E-05,Moldova,23011698758,110673.0733,
36,138,Japan,1440826,0.102708847,0.103193326,0.104725383,0.109570173,0.124890744,0.173338643,0.110989688,0.103335277,0.102569902,0.102493438,0.102484787,,,47.5162,14.5501,Austria,1160743,0.110634737,0.103299782,0.102566309,0.102492994,0.102484787,,-30.5595,22.9375,South Africa,3652970,0.102733225,0.103270417,0.104969169,0.110341092,0.127328603,0.18104783,,South Africa,0.881893619,0.001382848,,Honduras,0.999987235,1.27649E-05,Dominican Republic,22504662223,61858.79387,
51.9194,19.1451,Poland,2660665,0.102661344,0.103043108,0.104250354,0.108068,0.120140459,0.158316917,0.111591873,0.103395507,0.102576013,0.102492525,0.102484787,,,31.7917,-7.0926,Morocco,1890964,0.110608648,0.103297174,0.102565941,0.102492525,0.102484787,,13.1939,-59.5432,Belize,7965,0.102730706,0.10326245,0.104943974,0.110261419,0.127076657,0.180251109,,Austria,0.871019351,0.006914879,,Portugal,0.999986949,1.30509E-05,Lebanon,22434069402,43862.11728,
31.7917,-7.0926,Morocco,1890964,0.102671606,0.10307556,0.104352976,0.108392521,0.121166678,0.161562117,0.110608648,0.103297174,0.102565941,0.102492525,0.102484787,,,64,26,Finland,636019,0.11059309,0.103295618,0.102565872,0.102492994,0.102484787,,47.5162,14.5501,Austria,1160743,0.102724001,0.103241249,0.104876929,0.110049403,0.126406204,0.178130954,,Ireland,0.867164013,0.006911523,,Nigeria,0.999986281,1.37187E-05,Bulgaria,22363913318,55464.26657,
