Z,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,,,Confidence,https://image.baidu.com/search/detail?ct=5
,,,,,,,,,,,1.22,0.222,0.778,
,,,,,,,,,,,1.23,0.218,0.782,
,,,,,,,,,,,1.24,0.216,0.784,
,,,,,,,,,,,1.25,0.212,0.788,
,,,,,,,,,,,1.26,0.208,0.792,
,,,,,,,,,,,1.27,0.204,0.796,
,,,,,,,,,,,1.28,0.2,0.8,
,,,,,,,,,,,1.29,0.198,0.802,
,,,,,,,,,,,1.3,0.194,0.806,
,,,,,,,,,,,1.31,0.184,0.816,
,,,,,,,,,,,1.32,0.186,0.814,
,,,,,,,,,,,1.33,0.184,0.816,
,,,,,,,,,,,1.34,0.182,0.818,
,,,,,,,,,,,1.35,0.178,0.822,
,,,,,,,,,,,1.36,0.174,0.826,
,,,,,,,,,,,1.37,0.17,0.83,
,,,,,,,,,,,1.38,0.168,0.832,
,,,,,,,,,,,1.39,0.164,0.836,
,,,,,,,,,,,1.4,0.162,0.838,
,,,,,,,,,,,1.41,0.158,0.842,
,,,,,,,,,,,1.42,0.156,0.844,
,,,,,,,,,,,1.43,0.152,0.848,
,,,,,,,,,,,1.44,0.15,0.85,
,,,,,,,,,,,1.45,0.148,0.852,
,,,,,,,,,,,1.46,0.144,0.856,
,,,,,,,,,,,1.47,0.142,0.858,
,,,,,,,,,,,1.48,0.138,0.862,
,,,,,,,,,,,1.49,0.136,0.864,
,,,,,,,,,,,1.5,0.134,0.866,
,,,,,,,,,,,1.51,0.132,0.868,
,,,,,,,,,,,1.52,0.128,0.872,
,,,,,,,,,,,1.53,0.126,0.874,
,,,,,,,,,,,1.54,0.124,0.876,
,,,,,,,,,,,1.55,0.122,0.878,
,,,,,,,,,,,1.56,0.118,0.882,
,,,,,,,,,,,1.57,0.116,0.884,
,,,,,,,,,,,1.58,0.114,0.886,
,,,,,,,,,,,1.59,0.112,0.888,
,,,,,,,,,,,1.6,0.11,0.89,
,,,,,,,,,,,1.61,0.108,0.892,
,,,,,,,,,,,1.62,0.106,0.894,
,,,,,,,,,,,1.63,0.104,0.896,
,,,,,,,,,,,1.64,0.102,0.898,
,,,,,,,,,,,1.65,0.1,0.9,
,,,,,,,,,,,1.66,0.098,0.902,
,,,,,,,,,,,1.67,0.096,0.904,
,,,,,,,,,,,1.68,0.094,0.906,
,,,,,,,,,,,1.69,0.092,0.908,
,,,,,,,,,,,1.7,0.09,0.91,
,,,,,,,,,,,1.71,0.088,0.912,
,,,,,,,,,,,1.72,0.086,0.914,
,,,,,,,,,,,1.73,0.084,0.916,
,,,,,,,,,,,1.74,0.082,0.918,
,,,,,,,,,,,1.75,0.08,0.92,
,,,,,,,,,,,1.76,0.078,0.922,
,,,,,,,,,,,1.77,0.076,0.924,
,,,,,,,,,,,1.78,0.076,0.924,
,,,,,,,,,,,1.79,0.074,0.926,
,,,,,,,,,,,1.8,0.072,0.928,
,,,,,,,,,,,1.81,0.07,0.93,
,,,,,,,,,,,1.82,0.068,0.932,
,,,,,,,,,,,1.83,0.068,0.932,
,,,,,,,,,,,1.84,0.066,0.934,
,,,,,,,,,,,1.85,0.064,0.936,
,,,,,,,,,,,1.86,0.062,0.938,
,,,,,,,,,,,1.87,0.062,0.938,
,,,,,,,,,,,1.88,0.06,0.94,
,,,,,,,,,,,1.89,0.058,0.942,
,,,,,,,,,,,1.9,0.058,0.942,
,,,,,,,,,,,1.91,0.056,0.944,
,,,,,,,,,,,1.92,0.054,0.946,
,,,,,,,,,,,1.93,0.054,0.946,
,,,,,,,,,,,1.94,0.052,0.948,
,,,,,,,,,,,1.95,0.054,0.946,
,,,,,,,,,,,1.96,0.05,0.95,
,,,,,,,,,,,1.97,0.048,0.952,
,,,,,,,,,,,1.98,0.048,0.952,
,,,,,,,,,,,1.99,0.046,0.954,
