Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,mortality rates ,error,,Country,x,x1,Country,n,n1,
-16.2902,-63.5887,Bolivia,239073,0.102863485,0.103682334,0.106271764,0.11446026,0.140354559,0.22223952,0.108340206,0.103070329,0.102543342,0.10249067,0.102485754,,,31.7917,-7.0926,Morocco,1890964,0.125237727,0.104760081,0.102712319,0.102507511,0.102486721,,2.5,112.5,Malaysia,1232927,0.103178076,0.10467716,0.109417679,0.124408516,0.171813705,0.321722075,,Guatemala,0.042727145,0.002675611,,Israel,0.999991894,8.10621E-06,Guatemala,4569918237,18982.40145,
31,35,Israel,2217857,0.1033158,0.105112682,0.110794921,0.12876374,0.185586132,0.365274313,0.141620642,0.106398373,0.102876145,0.102523908,0.102488656,,,52.9399,-73.5491,Canada,5402249,0.125159759,0.104752283,0.10271157,0.102507346,0.102484787,,-18.7669,46.8691,Madagascar,57254,0.103177982,0.104676861,0.109416732,0.124405522,0.171804238,0.321692138,,Saint Martin,0.041322314,0.063276266,,Dominican Republic,0.999991205,8.79512E-06,Saint Martin,4426149393,1606004.86,
-1.8312,-78.1834,Ecuador,326552,0.102813574,0.103524503,0.105772658,0.112881947,0.135363492,0.206456382,0.108426216,0.10307893,0.102544206,0.102490749,0.102484787,,,51.9194,19.1451,Poland,2660665,0.124954969,0.104731806,0.102709498,0.102507346,0.102487523,,9.7489,-83.7534,Costa Rica,146047,0.103164804,0.10463519,0.109284958,0.123988816,0.170486498,0.317525079,,Bulgaria,0.041243439,0.005490278,,China,0.999991018,8.98211E-06,Bulgaria,4418064284,10957.14742,
48.0196,66.9237,Kazakhstan,2434444,0.103150902,0.104591227,0.109145935,0.123549185,0.169096263,0.31312877,0.135350946,0.105771403,0.102813447,0.102517615,0.102488138,,,31.24,36.51,Jordan,810061,0.124945976,0.104730906,0.1027094,0.102507263,0.10248695,,48.0196,66.9237,Kazakhstan,2434444,0.103150902,0.104591227,0.109145935,0.123549185,0.169096263,0.31312877,,Germany,0.041044187,0.001388479,,Russia,0.999990923,9.07691E-06,Germany,4397633900,392.3624371,
26,30,Egypt,135000,0.102834796,0.103591613,0.105984879,0.11355305,0.137485707,0.213167413,0.106551526,0.102891461,0.10252545,0.102488833,0.102484787,,,4.5709,-74.2973,Colombia,2685355,0.123953124,0.10463162,0.102699465,0.102506328,0.102487523,,35.1264,33.4299,Cyprus,286736,0.103150638,0.104590394,0.1091433,0.123540854,0.169069918,0.313045459,,Colombia,0.038975961,0.000925012,,Oman,0.999990882,9.11796E-06,Colombia,4185042749,1558.469085,
18.7357,-70.1627,Dominican Republic,363807,0.103069028,0.104332319,0.108327195,0.120960104,0.160908871,0.287237961,0.113628436,0.103599152,0.102596223,0.102495941,0.102485754,,,43,12,Italy,8509618,0.123844989,0.104620805,0.102698382,0.102506673,0.102484787,,-22.9576,18.4904,Namibia,58610,0.103134742,0.104540125,0.108984337,0.123038169,0.167480287,0.308018605,,Denmark,0.038409455,0.005042005,,Panama,0.999990824,9.17584E-06,Denmark,4126645292,1719.361749,
8.538,-80.7821,Panama,326597,0.103009178,0.104143057,0.107728696,0.119067483,0.154923874,0.268311742,0.111961576,0.103432466,0.102579554,0.102494264,0.102485754,,,7.9465,-1.0232,Ghana,439246,0.123756476,0.104611956,0.102697504,0.10250606,0.102486895,,33.8547,35.8623,Lebanon,511468,0.103126077,0.104512725,0.108897689,0.122764163,0.166613805,0.305278548,,Iraq,0.037307332,0.001474,,Belgium,0.999990443,9.5572E-06,Iraq,4012829172,2560.61813,
45.9432,24.9668,Romania,1780963,0.102856175,0.103659219,0.106198666,0.114229104,0.139623579,0.219927957,0.118157898,0.104052099,0.102641512,0.102500502,0.102484787,,,36,138,Japan,1440826,0.12333807,0.104570115,0.10269332,0.102505621,0.102486721,,18.1096,-77.2975,Jamaica,56494,0.103112714,0.104470466,0.108764054,0.122341573,0.165277457,0.301052644,,Afghanistan,0.037288226,0.003266708,,Kuwait,0.999990293,9.70747E-06,Afghanistan,4010853669,39175.7618,
30.9756,112.2707,China,90410000,0.102837815,0.103601159,0.106015065,0.113648506,0.137787565,0.214121974,0.208634083,0.113099724,0.103546181,0.102589747,0.102484787,,,56.2639,9.5018,Denmark,2400103,0.122923986,0.104528707,0.102689179,0.102505259,0.102487523,,15,101,Thailand,749213,0.103102366,0.104437742,0.108660572,0.122014335,0.16424264,0.297780266,,Albania,0.035928926,0.007117534,,Romania,0.999989683,1.03173E-05,Albania,3870099254,68117.56145,
21,57,Oman,309212,0.103396661,0.105368386,0.111603529,0.131320782,0.193672209,0.390844734,0.118519571,0.104088265,0.102645135,0.102500826,0.102486391,,,-9.19,-75.0152,Peru,3156679,0.122623169,0.104498625,0.102686154,0.10250489,0.102484787,,1.5,10,Equatorial Guinea,51944,0.103101188,0.10443402,0.108648801,0.121977112,0.164124931,0.297408038,,Brazil,0.035364098,0.000334457,,Guatemala,0.999988491,1.15089E-05,Brazil,3811490301,265.563111,
