Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,recovery rates,error,,Country,x,x1,Country,n,n1,,
-16.2902,-63.5887,Bolivia,239073,0.102778512,0.103413626,0.105422034,0.111773177,0.131857255,0.195368686,0.107026354,0.102938944,0.102530195,0.102489324,0.102484787,,,31.7917,-7.0926,Morocco,1890964,0.125457827,0.104782091,0.102714521,0.102507757,0.102486721,,15,101,Thailand,749213,0.103094965,0.104414339,0.108586567,0.121780309,0.163502585,0.295440005,,Thailand,0.982424242,0.007686198,,Oman,0.999990581,9.41929E-06,China,5772794393,63.85128186,,
31,35,Israel,2217857,0.103301161,0.10506639,0.110648531,0.128300812,0.184122227,0.360645041,0.140931229,0.106329431,0.10286925,0.102523233,0.102488656,,,31.24,36.51,Jordan,810061,0.125130678,0.104749376,0.102711246,0.102507429,0.10248695,,22.3,114.2,Hong Kong,780415,0.10306224,0.104310854,0.108259316,0.120745452,0.160230082,0.285091442,,Hong Kong,0.980333867,0.007042957,,Egypt,0.999990207,9.79348E-06,Switzerland,5696698553,5691.667119,,
-1.8312,-78.1834,Ecuador,326552,0.102812119,0.103519903,0.105758111,0.112835948,0.135218031,0.205996393,0.10839993,0.103076302,0.102543938,0.102490749,0.102484787,,,52.9399,-73.5491,Canada,5402249,0.124952555,0.104731566,0.102709448,0.102507346,0.102484787,,21.694,-71.7979,Turks and Caicos,2367,0.103059364,0.10430176,0.108230561,0.12065452,0.159942529,0.28418212,,Turks and Caicos,0.98013245,0.041459186,,Kuwait,0.999990189,9.81076E-06,Malawi,5553560436,125373.8585,,
48.0196,66.9237,Kazakhstan,2434444,0.103131094,0.10452859,0.108947859,0.122922816,0.167115509,0.306865076,0.13437364,0.105673672,0.102803675,0.102516632,0.102487523,,,7.9465,-1.0232,Ghana,439246,0.12372154,0.104608463,0.102697154,0.102506022,0.10248695,,60,90,Russia,36000000,0.103047578,0.104264488,0.108112695,0.120281796,0.158763871,0.280454876,,Russia,0.979273394,0.000525447,,Dominican Republic,0.999989121,1.08791E-05,Guyana,5523939785,683740.5353,,
26,30,Egypt,135000,0.102798804,0.103477796,0.105624959,0.112414882,0.133886503,0.201785733,0.106133337,0.102849641,0.102521273,0.102488406,0.102484787,,,43,12,Italy,8509618,0.123457467,0.104582067,0.102694706,0.10250374,0.102484787,,10.6918,-61.2225,Trinidad and Tobago,23429,0.103046466,0.104260972,0.108101579,0.120246642,0.158652703,0.280103332,,Trinidad and Tobago,0.979189485,0.016036086,,Panama,0.999988993,1.10075E-05,USA,5504516086,67.87118864,,
18.7357,-70.1627,Dominican Republic,363807,0.103002343,0.104121442,0.107660344,0.118851334,0.154240353,0.266150258,0.112356502,0.103471959,0.102583505,0.102494651,0.102485754,,,4.5709,-74.2973,Colombia,2685355,0.123323142,0.104568622,0.102693185,0.102505621,0.102487523,,1.5,10,Equatorial Guinea,51944,0.103044992,0.104256309,0.108086833,0.12020001,0.158505242,0.279637021,,Equatorial Guinea,0.979077388,0.007622933,,Guatemala,0.999988498,1.15017E-05,Albania,5501400951,96830.07923,,
8.538,-80.7821,Panama,326597,0.102958247,0.103981999,0.107219387,0.117456908,0.149830792,0.252206001,0.111041155,0.103340424,0.102570351,0.102493329,0.102485754,,,36,138,Japan,1440826,0.1231533,0.104551639,0.102691468,0.102505441,0.102486721,,35.1264,33.4299,Cyprus,286736,0.103044732,0.10425549,0.108084241,0.120191814,0.158479324,0.279555061,,Cyprus,0.979057592,0.015715958,,Bolivia,0.99998778,1.22203E-05,North Macedonia,5441212768,37014.54925,,
45.9432,24.9668,Romania,1780963,0.102770064,0.103386912,0.105337556,0.111506035,0.131012477,0.192697265,0.114523888,0.103688699,0.10260522,0.102497021,0.102484787,,,51.9194,19.1451,Poland,2660665,0.122936693,0.104529977,0.102689307,0.102505259,0.102487523,,18.1096,-77.2975,Jamaica,56494,0.103044657,0.104255251,0.108083486,0.120189427,0.158471774,0.279531185,,Jamaica,0.979051819,0.016140749,,Ukraine,0.999987565,1.24354E-05,Bulgaria,5409655606,13416.37201,,
30.9756,112.2707,China,90410000,0.102837527,0.103600248,0.106012185,0.113639399,0.137758766,0.214030904,0.20854749,0.113091057,0.103545279,0.102589747,0.102484787,,,56.2639,9.5018,Denmark,2400103,0.122538083,0.104490117,0.102685316,0.10250489,0.102487523,,36,128,S. Korea,1924170,0.103041217,0.104244374,0.10804909,0.120080659,0.158127821,0.278443511,,S. Korea,0.978786287,0.003906998,,Japan,0.999987155,1.28453E-05,El Salvador,5186739855,16707.48945,,
21,57,Oman,309212,0.103379361,0.105313679,0.111430529,0.130773707,0.191942208,0.38537399,0.11821536,0.104057844,0.102642093,0.102500517,0.102486391,,,-9.19,-75.0152,Peru,3156679,0.12142556,0.104378862,0.102674203,0.10250374,0.102484787,,3.9193,-56.0278,Suriname,8309,0.103032502,0.104216815,0.107961941,0.119805069,0.157256329,0.275687609,,Suriname,0.978090255,0.008887487,,Bahrain,0.999985157,1.48429E-05,Tunisia,5019304565,35973.71523,,
