Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,discharge rate,error,,Country,x,x1,Country,n,n1,,,,
-16.2902,-63.5887,Bolivia,239073,0.102645275,0.102992293,0.104089663,0.107559851,0.118533548,0.153235433,0.104966244,0.10273293,0.102509635,0.102487523,0.102484787,,,26.0275,50.55,Bahrain,1095373,0.11360393,0.103596701,0.102595979,0.102495899,0.102484787,,51,9,Germany,11208091,0.102747046,0.103314124,0.10510738,0.110778155,0.128710721,0.185418471,,Germany,0.895640894,0.002073822,,Egypt,0.999992029,7.97135E-06,Saint Martin,26070028162,9459371.612,,,,
31,35,Israel,2217857,0.102689891,0.103133384,0.104535831,0.108970757,0.122995226,0.167344496,0.112144,0.103450717,0.102581431,0.102494264,0.102484787,,,15,101,Thailand,749213,0.112598197,0.103496128,0.102585915,0.102494839,0.102486721,,22.3,114.2,Hong Kong,780415,0.102746946,0.103313807,0.105106377,0.110774983,0.128700687,0.185386746,,Hong Kong,0.895550449,0.014778694,,Dominican Republic,0.999991711,8.28912E-06,Cyprus,26030270718,90781.31353,,,,
-1.8312,-78.1834,Ecuador,326552,0.102706457,0.103185768,0.104701485,0.109494601,0.124651765,0.172582924,0.106490526,0.102885359,0.102524854,0.102488656,0.102484787,,,-9.19,-75.0152,Peru,3156679,0.112301597,0.103466472,0.102582968,0.10249573,0.102484787,,9.9456,-9.6966,Guinea,23588,0.102746619,0.103312772,0.105103104,0.110764633,0.12866796,0.18528325,,Guinea,0.895254567,0.010643256,,Panama,0.999991537,8.46304E-06,Bahamas,25934483816,2349776.553,,,,
48.0196,66.9237,Kazakhstan,2434444,0.102762732,0.103363726,0.105264237,0.11127418,0.130279288,0.190378717,0.116198617,0.103856166,0.1026219,0.102498189,0.102484787,,,31,35,Israel,2217857,0.112144,0.103450717,0.102581431,0.102494264,0.102484787,,64,26,Finland,636019,0.102745814,0.103310226,0.105095054,0.110739176,0.128587456,0.185028677,,Finland,0.894521059,0.011445651,,Romania,0.999991096,8.90404E-06,Philippines,25929595557,10308.53557,,,,
26,30,Egypt,135000,0.102664133,0.103051928,0.104278243,0.108156193,0.120419346,0.159198846,0.104568594,0.102693172,0.102505621,0.102486721,0.102484787,,,4.5709,-74.2973,Colombia,2685355,0.111892437,0.103425549,0.10257892,0.102494264,0.102484787,,56.2639,9.5018,Denmark,2400103,0.102744514,0.103306114,0.105082052,0.110698061,0.128457441,0.184617528,,Denmark,0.89331903,0.007966557,,China,0.999991026,8.9736E-06,Ethiopia,25891475377,29779.82745,,,,
18.7357,-70.1627,Dominican Republic,363807,0.102661049,0.103042176,0.104247406,0.108058676,0.120110973,0.158223672,0.105846757,0.102820977,0.102518404,0.102487523,0.102484787,,,50.8333,4,Belgium,2234172,0.111653126,0.103401617,0.102576504,0.102492525,0.102484787,,52.9399,-73.5491,Canada,5402249,0.102740026,0.103291923,0.105037175,0.110556147,0.12800867,0.18319839,,Canada,0.888997674,0.00293869,,Oman,0.999991024,8.97588E-06,Lithuania,25562214697,40271.24762,,,,
8.538,-80.7821,Panama,326597,0.102662025,0.103045262,0.104257164,0.108089536,0.120208561,0.158532278,0.105687827,0.102805086,0.102516808,0.102487523,0.102484787,,,7.9465,-1.0232,Ghana,439246,0.111648848,0.103401193,0.102576428,0.102493963,0.102485754,,60.472,8.4689,Norway,686202,0.102732391,0.103267781,0.104960831,0.110314726,0.127245229,0.180784179,,Norway,0.880972576,0.01050831,,Kuwait,0.999990955,9.04507E-06,Maldives,25421612849,230583.6139,,,,
45.9432,24.9668,Romania,1780963,0.102646493,0.102996147,0.10410185,0.107598387,0.118655413,0.153620792,0.109309026,0.103167222,0.102553125,0.102492525,0.102484787,,,51.9194,19.1451,Poland,2660665,0.111407109,0.103377011,0.102574023,0.102492525,0.102484787,,13.1939,-59.5432,Belize,7965,0.102732152,0.103267022,0.104958432,0.110307139,0.127221237,0.180708306,,Uruguay,0.868789809,0.028487174,,Belgium,0.999990931,9.0695E-06,Hungary,24960977943,59730.97692,,,,
30.9756,112.2707,China,90410000,0.102829581,0.103575121,0.105932726,0.113388128,0.136964179,0.211518196,0.206158303,0.112852134,0.103521526,0.10258744,0.102484787,,,13,122,Philippines,2515352,0.110832144,0.103319529,0.102568125,0.102492525,0.102484787,,-32.5228,-55.7658,Uruguay,171237,0.102722264,0.103235756,0.104859559,0.109994476,0.12623251,0.177581675,,Kyrgyzstan,0.868708821,0.005399352,,Russia,0.999990472,9.52785E-06,France,24158387610,3912.148211,,,,
21,57,Oman,309212,0.102813603,0.103524595,0.105772947,0.112882863,0.135366391,0.206465549,0.108266828,0.103062991,0.10254261,0.10249059,0.102484787,,,6.4238,-66.5897,Venezuela,1734382,0.110786471,0.103314962,0.102567765,0.102492525,0.102484787,,41.2044,74.7661,Kyrgyzstan,267718,0.102722202,0.103235559,0.104858937,0.10999251,0.126226289,0.177562008,,South Africa,0.862088407,0.001460741,,Guatemala,0.999989863,1.01373E-05,Senegal,24060285568,167257.2197,,,,
