Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,ICU-case rates,error,,Country,x,x1,Country,n,n1,,,,,,,,,,,,,,,,
48.3794,31.1656,Ukraine,1516712,0.104525529,0.108938179,0.122892205,0.16701871,0.30655897,0.747824018,0.181961451,0.110432464,0.103279555,0.102564264,0.102492734,,,46.8182,8.2275,Switzerland,1000884,0.221663524,0.11440284,0.103676592,0.102603968,0.102496706,,25.3548,51.1839,Qatar,620128,0.105853574,0.113137827,0.136172656,0.209015182,0.439363476,1.167788739,,Hong Kong,0.004892576,0.00345113,,Kazakhstan,0.999992356,7.64351E-06,Hong Kong,543971629.4,697.0286698,,,,,,,,,,,,,,,,
-16.2902,-63.5887,Bolivia,239073,0.105635461,0.112448092,0.133991524,0.202117836,0.417552152,1.098815278,0.151200458,0.10735639,0.102971947,0.102533503,0.102489659,,,50.8333,4,Belgium,2234172,0.220085539,0.114244896,0.103660798,0.102602388,0.102496554,,-22.3285,24.6849,Botswana,109547,0.10571988,0.11271505,0.134835719,0.204787417,0.425994107,1.125511082,,Paraguay,0.004873982,0.001872486,,Egypt,0.999991667,8.33253E-06,Paraguay,541914401.3,2914.756274,,,,,,,,,,,,,,,,
31,35,Israel,2217857,0.103772629,0.106557302,0.11536321,0.143209937,0.23126902,0.50973629,0.1631346,0.10854977,0.103091285,0.102545437,0.102490904,,,38.9637,35.2433,Turkey,6937088,0.21530034,0.113766345,0.103612942,0.102597599,0.102496067,,26.0275,50.55,Bahrain,1095373,0.105693005,0.112630063,0.134566966,0.203937545,0.423306579,1.117012372,,Tunisia,0.004290618,0.003777466,,Dominican Republic,0.99999159,8.40954E-06,Tunisia,477332602.5,3421.076942,,,,,,,,,,,,,,,,
-1.8312,-78.1834,Ecuador,326552,0.103871116,0.106868745,0.116348081,0.146324372,0.241117726,0.540880633,0.127536799,0.104989989,0.102735307,0.102509839,0.1024873,,,51.9194,19.1451,Poland,2660665,0.214915109,0.113727838,0.103609092,0.102597217,0.102496025,,-16.2902,-63.5887,Bolivia,239073,0.105635461,0.112448092,0.133991524,0.202117836,0.417552152,1.098815278,,Philippines,0.003991188,0.000460396,,Panama,0.999991385,8.61496E-06,Philippines,444154429,176.5774448,,,,,,,,,,,,,,,,
48.0196,66.9237,Kazakhstan,2434444,0.104226266,0.107991826,0.119899574,0.157555179,0.276632658,0.653188708,0.188409495,0.111077264,0.103344035,0.102570711,0.102493384,,,26.0275,50.55,Bahrain,1095373,0.208665314,0.113102923,0.103546601,0.102590968,0.102495404,,39.3999,-8.2245,Portugal,1976482,0.105475958,0.1119437,0.132396495,0.197073912,0.401601863,1.048376036,,Bulgaria,0.00392056,0.001683907,,Oman,0.999990967,9.03336E-06,Bulgaria,436325669.9,1082.122029,,,,,,,,,,,,,,,,
26,30,Egypt,135000,0.106306725,0.114570816,0.140704166,0.223345076,0.484678578,1.311087673,0.146891693,0.106925548,0.102928863,0.102529195,0.102489228,,,2.5,112.5,Malaysia,1232927,0.197957459,0.112032093,0.103439518,0.10258026,0.102494331,,46.1512,14.9955,Slovenia,157467,0.105432389,0.111805921,0.131960802,0.195696132,0.39724494,1.034598235,,Israel,0.003891293,0.000620771,,Kuwait,0.999990907,9.09265E-06,Israel,433081121.1,195.2700833,,,,,,,,,,,,,,,,
18.7357,-70.1627,Dominican Republic,363807,0.104073762,0.107509568,0.118374539,0.152732593,0.261382303,0.604962851,0.132792463,0.105515556,0.102787864,0.102515095,0.102487817,,,-9.19,-75.0152,Peru,3156679,0.192784741,0.111514787,0.103387787,0.102575088,0.102493809,,56.8796,24.6032,Latvia,248932,0.105428569,0.111793844,0.131922611,0.195575361,0.396863029,1.033390527,,Greece,0.003704847,0.002079504,,Romania,0.999990778,9.22224E-06,Greece,412407854.5,442.9720392,,,,,,,,,,,,,,,,
8.538,-80.7821,Panama,326597,0.104411561,0.108577782,0.121752528,0.163414735,0.295162199,0.711784263,0.137305439,0.105966856,0.102832994,0.102519608,0.102488266,,,30.3753,69.3451,Pakistan,2581695,0.189030504,0.111139364,0.103350245,0.102571333,0.102493438,,-13.254308,34.301525,Malawi,44296,0.105419274,0.111764449,0.131829655,0.195281406,0.395933462,1.030450977,,S. Korea,0.003612717,0.001447718,,Russia,0.999990612,9.38793E-06,S. Korea,402189466.9,209.019716,,,,,,,,,,,,,,,,
45.9432,24.9668,Romania,1780963,0.103526975,0.105780474,0.112906663,0.135441654,0.206703551,0.432053457,0.146466624,0.106882971,0.102924605,0.102528771,0.102489219,,,48.0196,66.9237,Kazakhstan,2434444,0.188409495,0.111077264,0.103344035,0.102570711,0.102493384,,15.2,-86.2419,Honduras,141114,0.105339082,0.111510861,0.131027738,0.192745524,0.3879143,1.00509216,,Aruba,0.003562341,0.004705417,,China,0.999990595,9.40549E-06,Aruba,396601373.8,19004.33053,,,,,,,,,,,,,,,,
30.9756,112.2707,China,90410000,0.112644036,0.134611153,0.204077277,0.423748448,1.118409685,3.315121396,3.157193746,0.408199433,0.133056496,0.105541958,0.102790504,,,25.3548,51.1839,Qatar,620128,0.186375562,0.110873945,0.103323703,0.102568679,0.102493176,,33,65,Afghanistan,102381,0.105246249,0.111217298,0.130099411,0.189809895,0.378631025,0.975735865,,Japan,0.00352934,0.000777657,,Belgium,0.999989909,1.00913E-05,Japan,392940281,272.7187606,,,,,,,,,,,,,,,,
21,57,Oman,309212,0.104369159,0.108443694,0.121328505,0.162073856,0.290921967,0.698375472,0.135620381,0.10579835,0.102816143,0.102517923,0.102488102,,,4.5709,-74.2973,Colombia,2685355,0.184543501,0.110690662,0.103305374,0.102566847,0.102492994,,2.5,112.5,Malaysia,1232927,0.105203794,0.111083044,0.129674861,0.188467352,0.374385531,0.962310436,,Turkey,0.003516374,0.000387607,,Guatemala,0.999989523,1.04773E-05,Turkey,391501844,56.43604983,,,,,,,,,,,,,,,,
29.5,47.75,Kuwait,611639,0.104904474,0.11013651,0.12668166,0.179002017,0.344453513,0.867657085,0.162326887,0.108469012,0.10308321,0.102544629,0.102490774,,,47.5162,14.5501,Austria,1160743,0.183338312,0.110570159,0.103293324,0.102565641,0.102492872,,-30.5595,22.9375,South Africa,3652970,0.105180134,0.111008222,0.129438256,0.18771914,0.372019477,0.954828317,,Cyprus,0.003417635,0.005435414,,Japan,0.999988701,1.1299E-05,Cyprus,380546255.9,1327.16595,,,,,,,,,,,,,,,,
50.8333,4,Belgium,2234172,0.104972795,0.11035256,0.127364868,0.181162512,0.3512856,0.88926204,0.220085539,0.114244896,0.103660798,0.102602388,0.102496554,,,24,45,Saudi Arabia,5026127,0.18295532,0.110531841,0.103289493,0.102565258,0.102492879,,50.8333,4,Belgium,2234172,0.104972795,0.11035256,0.127364868,0.181162512,0.3512856,0.88926204,,Costa Rica,0.003385861,0.000982203,,Poland,0.999988549,1.14508E-05,Costa Rica,377020289.7,2581.499721,,,,,,,,,,,,,,,,
15.7835,-90.2308,Guatemala,240745,0.112030316,0.1326704,0.197940077,0.404340919,1.05703769,3.121046107,0.250592829,0.117304799,0.103966797,0.102632988,0.102499607,,,48.3794,31.1656,Ukraine,1516712,0.181961451,0.110432464,0.103279555,0.102564264,0.102492734,,51,9,Germany,11208091,0.104961154,0.110315746,0.127248452,0.180794373,0.350121441,0.885580644,,Ecuador,0.003356241,0.000593318,,Morocco,0.999987632,1.23683E-05,Ecuador,373733183.2,1144.48291,,,,,,,,,,,,,,,,
36,138,Japan,1440826,0.10383681,0.106760258,0.116005015,0.145239501,0.237687065,0.530031929,0.153805157,0.107616825,0.102997991,0.102536109,0.102489905,,,-35.6751,-71.543,Chile,2365753,0.181911177,0.11042743,0.103279051,0.102564214,0.102492734,,29.5,47.75,Kuwait,611639,0.104904474,0.11013651,0.12668166,0.179002017,0.344453513,0.867657085,,Madagascar,0.003355935,0.001610905,,Honduras,0.999987235,1.27649E-05,Madagascar,373699169.5,6527.040373,,,,,,,,,,,,,,,,
51.9194,19.1451,Poland,2660665,0.104664445,0.109377471,0.124281367,0.171411625,0.320450587,0.791753167,0.214915109,0.113727838,0.103609092,0.102597217,0.102496025,,,6.4238,-66.5897,Venezuela,1734382,0.177668716,0.110003186,0.103236627,0.102559971,0.10249231,,47.5162,14.5501,Austria,1160743,0.104857968,0.109989445,0.1262166,0.17753137,0.33980292,0.852950618,,Uzbekistan,0.003263003,0.000946624,,Portugal,0.999986949,1.30509E-05,Uzbekistan,363384667.4,263.7206703,,,,,,,,,,,,,,,,
31.7917,-7.0926,Morocco,1890964,0.105982922,0.11354686,0.137466135,0.213105521,0.452298264,1.208692131,0.254601933,0.117696671,0.104005976,0.102636906,0.1025,,,44.0165,21.0059,Serbia,920852,0.169793836,0.109215704,0.103157879,0.102552096,0.102491514,,-33.8688,151.2093,Australia,6164296,0.104765822,0.109698054,0.125295141,0.174617461,0.330588329,0.823811523,,Senegal,0.003188098,0.001655,,Nigeria,0.999986281,1.37187E-05,Senegal,355069516.1,2468.29739,,,,,,,,,,,,,,,,
15.2,-86.2419,Honduras,141114,0.105339082,0.111510861,0.131027738,0.192745524,0.3879143,1.00509216,0.136391362,0.105875461,0.102823854,0.102518694,0.102488178,,,41.6086,21.7453,North Macedonia,147002,0.168174314,0.109054163,0.103141725,0.102550481,0.102491356,,45.1,15.2,Croatia,165716,0.104763207,0.109689784,0.125268989,0.174534759,0.330326804,0.822984508,,Trinidad and Tobago,0.003075031,0.004892207,,Bahrain,0.999985903,1.40969E-05,Trinidad and Tobago,342515680.5,14619.3043,,,,,,,,,,,,,,,,
39.3999,-8.2245,Portugal,1976482,0.105475958,0.1119437,0.132396495,0.197073912,0.401601863,1.048376036,0.235465188,0.115782906,0.103814599,0.102617768,0.102498084,,,49.8175,15.473,Czechia,891140,0.167629731,0.108999292,0.103136238,0.102549932,0.102491302,,-21.1351,55.2471,R¨¦union,35419,0.104719045,0.109550132,0.12482737,0.173138237,0.325910614,0.80901929,,Slovakia,0.002887897,0.002995202,,Ethiopia,0.999985277,1.47228E-05,Slovakia,321731943.9,967.9263521,,,,,,,,,,,,,,,,
9.082,8.6753,Nigeria,398304,0.109442032,0.124485526,0.172057232,0.322492176,0.798209238,2.302558675,0.241334377,0.116372179,0.103873529,0.102623661,0.102498674,,,13,122,Philippines,2515352,0.166264082,0.108862718,0.10312258,0.102548565,0.102491129,,22,-80,Cuba,388194,0.104705625,0.109507695,0.124693172,0.172713866,0.324568633,0.804775572,,USA,0.002692271,7.09951E-05,,Ghana,0.999983682,1.63185E-05,USA,299996689.5,3.69898672,,,,,,,,,,,,,,,,
26.0275,50.55,Bahrain,1095373,0.105693005,0.112630063,0.134566966,0.203937545,0.423306579,1.117012372,0.208665314,0.113102923,0.103546601,0.102590968,0.102495404,,,33,44,Iraq,1567133,0.164515362,0.108687847,0.103105093,0.102546817,0.10249098,,44.0165,21.0059,Serbia,920852,0.104702874,0.109498993,0.124665655,0.17262685,0.324293466,0.803905418,,Iraq,0.002625196,0.000364412,,Venezuela,0.999983562,1.64381E-05,Iraq,292542159.1,186.6734726,,,,,,,,,,,,,,,,
9.145,40.4897,Ethiopia,869430,0.103465439,0.105585881,0.112291306,0.133495723,0.200549977,0.412594145,0.131400385,0.105376347,0.102773943,0.102513699,0.102487689,,,31,35,Israel,2217857,0.1631346,0.10854977,0.103091285,0.102545437,0.102490904,,-0.0236,37.9062,Kenya,445722,0.104689422,0.109456454,0.124531135,0.172201461,0.322948268,0.799651528,,Guinea,0.002610966,0.001804365,,Kyrgyzstan,0.999983247,1.67532E-05,Guinea,290960627.1,12335.11222,,,,,,,,,,,,,,,,
7.9465,-1.0232,Ghana,439246,0.109338402,0.12415782,0.171020935,0.319215117,0.787846268,2.269788087,0.246124193,0.116851098,0.10392142,0.10262845,0.102499153,,,29.5,47.75,Kuwait,611639,0.162326887,0.108469012,0.10308321,0.102544629,0.102490774,,49.8175,15.473,Czechia,891140,0.104667053,0.109385719,0.12430745,0.171494106,0.320711416,0.792577981,,India,0.002573032,9.08282E-05,,Uzbekistan,0.999982503,1.74974E-05,India,286744208.2,7.096468011,,,,,,,,,,,,,,,,
6.4238,-66.5897,Venezuela,1734382,0.104290101,0.10819369,0.120537922,0.159573813,0.28301614,0.673375052,0.177668716,0.110003186,0.103236627,0.102559971,0.10249231,,,36,128,S. Korea,1924170,0.161105847,0.108346894,0.103070998,0.102543409,0.10249063,,51.9194,19.1451,Poland,2660665,0.104664445,0.109377471,0.124281367,0.171411625,0.320450587,0.791753167,,Colombia,0.002570371,0.000222122,,Switzerland,0.999982062,1.7938E-05,Colombia,286448449.1,106.6706075,,,,,,,,,,,,,,,,
